MJD,mag,mag_err
54939.1022337,7.63855,0.01765
54939.1029282,7.67885,0.01745
54939.1036226,7.68435,0.01765
54939.1043402,7.68175,0.01794
54940.8786226,8.39921,0.02965
54940.8848726,8.21441,0.02638
54940.8855671,8.17571,0.02489
54940.8862615,8.1727,0.02549
54940.886956,8.16521,0.0245
54940.8876504,8.12541,0.02401
54940.8890393,8.16601,0.02401
54941.8820949,8.13313,0.02717
54941.8827893,8.28603,0.02806
54941.8834837,8.15703,0.02539
54941.8841782,8.16763,0.02598
54941.8848726,8.13543,0.02548
54941.8855671,8.15493,0.02667
54941.899456,7.94043,0.02144
54942.8904282,8.11206,0.02458
54942.8911226,8.09306,0.02468
54942.8918171,8.08546,0.02379
54942.8925115,8.05516,0.02359
54942.893206,8.03166,0.0232
54942.8939236,8.03236,0.02251
54942.8945949,8.05586,0.02498
54942.9050115,7.89906,0.01955
54942.905706,7.89946,0.01985
54943.0175115,8.00216,0.02339
54943.018206,8.00436,0.02251
54943.018912,7.96186,0.023
54944.0730671,7.61363,0.02127
54944.0737615,7.65123,0.02127
54944.074456,7.67153,0.02088
54944.0758449,7.61803,0.01982
54944.0765393,7.52223,0.01982
54944.961956,7.50804,0.01462
54944.9633564,7.55904,0.01549
54944.9647337,7.61224,0.01598
54944.9654282,7.61914,0.01559
54944.9661342,7.57574,0.0152
54944.9668171,7.61684,0.01569
54944.968206,7.63974,0.01578
54944.9689004,7.60214,0.01569
54945.8786226,8.14948,0.02834
54945.8793171,8.04938,0.02686
54945.8800347,8.07048,0.02597
54945.8807175,8.02108,0.02587
54945.8814004,8.07988,0.02587
54945.8820949,7.97298,0.02429
54945.8827893,7.94088,0.02469
54945.8841898,7.91238,0.02646
54945.9654282,8.31448,0.02933
54945.9668171,7.98928,0.0237
54945.968206,7.71888,0.01891
54945.9689004,7.72368,0.01871
54948.8800115,8.12663,0.02915
54948.880706,8.22453,0.02816
54948.8918171,8.14263,0.02687
54948.893206,8.12453,0.02726
54948.8939004,8.07803,0.02687
54948.8945949,8.10203,0.02568
54948.8959837,8.09973,0.02627
54950.899456,8.00175,0.02754
54950.9008449,7.92585,0.02962
54950.9015393,7.85655,0.02645
54950.9022337,7.90045,0.02419
54950.9029513,7.88275,0.02586
54950.9932291,7.75635,0.0236
54983.8820949,7.66995,0.02766
54983.9070949,8.14585,0.03546
54983.9078009,8.17245,0.03833
54983.9084837,8.04995,0.03853
54983.9091782,8.20185,0.03546
54983.9098842,8.13935,0.03437
54983.9112615,8.19505,0.03596
54983.911956,8.11075,0.03774
54983.9126504,8.21265,0.03685
54983.9140509,8.16345,0.04071
54953.8814004,8.27939,0.0378
54953.8869675,8.25149,0.0368
54953.8876504,8.23239,0.03581
54953.8883449,8.26719,0.03899
54953.8890393,8.15079,0.0369
54953.8911226,8.17169,0.03849
54953.8918402,8.14489,0.03621
54953.8925115,8.12369,0.0376
54984.8841782,7.68931,0.02688
54984.8848726,7.6594,0.0254
54984.9077893,8.10421,0.03635
54984.9084837,8.19371,0.03388
54984.9091898,8.1489,0.03784
54984.9098726,8.1945,0.03685
54984.9105671,8.12531,0.03744
54984.9112615,8.13181,0.03843
54984.911956,8.06151,0.03467
54984.9126504,8.10631,0.03625
54984.9133449,8.2213,0.03566
54984.9147337,8.1397,0.03665
54984.9154282,8.15061,0.03704
54954.961956,7.67356,0.02284
54954.962662,7.63286,0.02245
54954.9633449,7.68236,0.02304
54954.9640393,7.65586,0.02176
54954.9647453,7.68506,0.02304
54954.9654282,7.62616,0.02334
54985.8862615,7.67725,0.02851
54985.886956,7.71125,0.029
54985.9043287,8.05325,0.03591
54985.905706,8.14015,0.03788
54985.9064004,7.99195,0.04135
54985.9070949,8.06325,0.03818
54985.9077893,8.03785,0.04145
54985.9084953,8.19045,0.03986
54985.9091782,8.09475,0.03818
54955.861956,7.72163,0.0412
54955.886956,8.15053,0.04001
54955.8876504,8.09273,0.03981
54955.8883564,8.13213,0.03852
54955.8890393,8.18163,0.03713
54955.8897337,8.20903,0.03813
54955.8904513,8.15123,0.03773
54955.8911226,8.12323,0.03892
54986.9640393,7.79437,0.03429
54986.9647337,7.78487,0.03271
54986.9654513,7.74807,0.0331
54986.9661226,7.66947,0.03211
54986.9668171,7.76987,0.03221
54986.9675347,7.78957,0.0338
54986.968206,7.74697,0.03261
54986.9689004,7.74177,0.03251
54986.9695949,7.76237,0.03241
54986.9702893,7.75287,0.03083
54986.9709837,7.72957,0.03271
54986.9716782,7.75937,0.03271
54986.9723726,7.76767,0.0337
54956.867824,7.90425,0.03461
54957.0358564,8.04214,0.03917
54957.0365625,7.98215,0.04076
54957.0372453,8.13445,0.03907
54957.0379513,8.03145,0.03888
54957.0386342,8.06824,0.03957
54957.0393518,8.04685,0.04086
54957.8557175,7.51841,0.08891
54957.8564004,7.37361,0.08672
54957.8570949,7.30391,0.07413
54957.8578009,7.25671,0.06755
54957.8584837,7.27571,0.05438
54957.8591782,7.34481,0.06007
54957.8598726,7.52161,0.05538
54957.8605671,7.56551,0.0511
54957.8612731,7.67941,0.05279
54957.861956,7.56321,0.04602
54957.8626504,7.67901,0.03697
54957.8793171,7.88721,0.03499
54957.8800231,7.82561,0.03538
54957.8814004,7.84081,0.03687
54957.8827893,7.89881,0.04045
54957.8841898,7.90471,0.03608
54957.8848726,7.98381,0.03499
54957.8855787,7.91191,0.03479
54957.8876504,7.94751,0.03796
54957.8883449,7.99671,0.03568
54957.8911226,7.99061,0.03777
54957.8918171,7.98791,0.04065
54957.8925115,8.00851,0.03985
54957.8939004,7.93611,0.03528
54957.8945949,7.94121,0.03608
54957.8953125,8.01131,0.03677
54957.8959837,8.06841,0.03727
54957.8966782,8.06961,0.03727
54957.8973726,7.91061,0.03558
54957.8980671,8.06281,0.03727
54957.8987615,7.99441,0.03469
54957.899456,7.98481,0.03657
54957.9001504,7.95601,0.034
54988.8945949,7.79126,0.03482
54957.9008449,7.99061,0.03499
54988.8952893,7.89366,0.0373
54957.9730787,7.59991,0.02687
54957.9737615,7.60921,0.02806
54988.9772337,7.85536,0.04892
54957.974456,7.60621,0.02717
54988.9779282,7.64466,0.05341
54957.975162,7.68551,0.02737
54988.9786226,7.67546,0.05281
54957.9758449,7.64441,0.02835
54988.9793171,7.69626,0.0538
54988.9800115,7.53956,0.05341
54957.9765509,7.63261,0.02707
54988.980706,7.57596,0.05749
54957.9772337,7.69851,0.02875
54988.9814004,7.77086,0.04962
54988.982118,7.71516,0.0542
54988.9827893,7.81836,0.04932
54988.9834837,7.81836,0.04723
54988.9842013,7.88296,0.04833
54988.9848726,7.77546,0.04713
54989.9280439,8.31641,0.06268
54989.9287384,8.37501,0.06846
54989.9294444,8.34571,0.06178
54989.9301388,8.36801,0.06697
54989.9308217,8.35821,0.06388
54989.9315162,8.44511,0.06956
54989.9322106,8.41901,0.06557
54989.932905,8.36471,0.06517
54989.9336111,8.21791,0.06108
54962.8592013,7.60966,0.08782
54962.9737615,7.61456,0.02503
54962.974456,7.61986,0.02523
54962.9751504,7.63776,0.02621
54962.9758449,7.60216,0.02513
54962.9765393,7.57616,0.02435
54962.9772337,7.61256,0.02572
54962.9779398,7.62586,0.02533
54991.9147337,8.14755,0.03081
54991.9154282,8.12395,0.03725
54991.9161226,8.16785,0.03537
54991.9168287,8.20345,0.03338
54991.918206,8.19415,0.03745
54963.9404282,7.66477,0.01942
54963.9411226,7.61907,0.01903
54963.9418171,7.74307,0.01991
54963.9425347,7.59917,0.01893
54963.943206,7.68767,0.01912
54963.9501504,7.50307,0.01706
54964.9702893,7.54678,0.01786
54964.9709953,7.54788,0.01698
54964.9717013,7.51348,0.01747
54964.9730787,7.54798,0.01757
54964.9737615,7.55438,0.01796
54965.9883449,7.58755,0.01743
54965.9890393,7.61985,0.01861
54965.9897569,7.53105,0.01831
54965.9904282,7.58285,0.01841
54965.9911226,7.57725,0.01861
54965.9918171,7.59005,0.01821
54966.906412,8.15257,0.03049
54966.907118,8.14887,0.0297
54966.9077893,8.07597,0.02901
54966.9084837,8.05487,0.02871
54966.9091782,7.98937,0.02871
54966.9098842,8.08167,0.02812
54966.9265393,7.75567,0.02269
54966.9272337,7.81477,0.02259
54966.955706,7.55767,0.02171
54966.9564236,7.66227,0.02102
54966.9570949,7.65627,0.02073
54966.9578009,7.65807,0.02161
54969.9015509,8.08799,0.0323
54969.9022337,8.05459,0.03468
54969.9029513,8.16979,0.03012
54969.9036226,8.05169,0.03032
54969.9043171,8.10759,0.03191
54969.9050347,8.15469,0.02943
54970.8668171,7.68085,0.04703
54970.8675115,7.71855,0.04464
54970.9064004,8.17245,0.03011
54970.9070949,8.06835,0.02941
54970.9077893,8.15125,0.02842
54970.9084837,8.06835,0.02822
54970.9091782,8.14235,0.02902
54970.9098726,8.03055,0.02792
54970.9105671,7.88235,0.03061
54970.9404282,7.75865,0.02238
54970.9411226,7.73245,0.02169
54970.9418402,7.71515,0.02189
54971.8952893,7.94168,0.02589
54971.8966898,8.12958,0.02993
54971.8973726,8.00378,0.02924
54971.8980671,8.02498,0.03012
54971.899456,7.91398,0.03062
54971.9001504,7.70448,0.03496
54972.9015625,8.05472,0.03186
54972.9022337,8.05402,0.03236
54972.9029282,8.12932,0.03087
54972.9036342,8.07712,0.03275
54972.9043171,8.08742,0.03117
54972.9050115,8.04322,0.03752
54972.905706,8.16222,0.03355
54972.9070949,8.00932,0.02899
54974.9168171,8.03769,0.02814
54974.9175115,8.10309,0.02795
54974.918206,8.03119,0.02706
54974.918912,8.11339,0.02735
54974.9202893,8.05869,0.02666
54974.9251504,7.89419,0.02283
54976.0202893,7.32482,0.02225
54976.0209837,7.28842,0.02186
54976.0216782,7.33252,0.02215
54976.0223726,7.29792,0.02244
54976.0230671,7.31672,0.02099
54976.0237615,7.26462,0.02147
54976.9779282,7.57415,0.01853
54976.9786226,7.64785,0.01882
54976.9793171,7.58665,0.01824
54976.9800115,7.60125,0.01794
54976.9807291,7.58285,0.01843
54976.9814004,7.58275,0.01785
54976.9821064,7.56665,0.01853
54978.8952893,7.83513,0.02299
54978.8959837,7.91753,0.0226
54978.9022337,8.04773,0.02623
54978.9029513,8.02763,0.02662
54978.9036226,8.12353,0.02869
54978.9043171,8.11533,0.02859
54978.9050347,8.01663,0.02642
54978.905706,8.05753,0.028
55106.1973726,9.33108,0.14274
55106.1980671,7.19468,0.07128
55106.1987731,8.43768,0.14754
55106.2015509,9.27808,0.14764
55107.1945949,8.34508,0.07581
55107.1952893,8.28388,0.0763
55107.1960069,8.22588,0.07191
55107.1966782,8.30948,0.07231
55107.1973842,8.30308,0.0824
55107.1980902,8.25628,0.07411
54980.9022337,8.07313,0.03353
54980.9036111,8.12473,0.03264
54980.9043402,8.00533,0.03492
54980.9050115,8.02823,0.03274
54980.905706,8.12373,0.03135
54980.9064004,8.20603,0.03463
54980.9126504,8.15673,0.03373
55108.1918171,8.29144,0.10179
55108.1932291,8.11354,0.0894
55108.1939004,8.19074,0.0933
55108.1945949,8.25574,0.08491
55108.1953009,8.30254,0.10788
54981.8904513,7.70771,0.02411
54981.8911226,7.74641,0.02461
54981.9029398,8.02051,0.02965
54981.9036226,8.04251,0.03342
54981.9050115,8.02841,0.03491
54981.9057175,8.06381,0.03332
54981.906412,8.12831,0.03323
55110.1848726,8.17003,0.05842
55110.1855902,8.18373,0.05762
55110.1862615,8.10113,0.05553
55110.186956,8.07113,0.06012
55110.1876736,8.17403,0.05703
55110.1883449,8.12003,0.05583
54982.9327893,7.99969,0.03558
54982.9334837,8.01219,0.02911
54982.9341782,8.03759,0.03239
54982.9348842,7.96569,0.0306
54982.9355902,7.95159,0.03031
54982.9362615,7.91529,0.031
54982.936956,7.94649,0.0305
54982.9376504,7.88039,0.02991
54982.9383564,7.94639,0.02941
54982.9605671,7.58989,0.02366
55111.1834837,8.08309,0.04743
55111.1842013,8.14549,0.04583
55111.1849074,8.09389,0.04693
55111.1855902,8.14049,0.04823
55111.1862615,8.16269,0.04673
55112.1814004,8.13686,0.04385
55112.1820949,8.14256,0.04475
55112.1828125,8.20236,0.04634
55112.1834837,8.12526,0.04395
55112.2272337,7.88986,0.03181
55112.2279513,7.95766,0.03141
55112.2286226,7.92346,0.03071
55112.2293287,7.89706,0.03071
55112.2300115,7.84966,0.02903
55167.1328125,7.58714,0.04173
55167.1334837,7.61004,0.04183
55137.1175231,7.91501,0.05475
55137.1182291,7.94901,0.05505
55137.1189004,7.92171,0.05326
55137.1196064,7.90341,0.05366
55137.1202893,7.88051,0.04997
55137.1210069,7.87651,0.05077
55168.0084837,7.61231,0.05942
55168.0092013,7.66231,0.05822
55168.0098726,7.61201,0.06111
55168.0105671,7.73381,0.06042
55168.0112731,7.70141,0.05403
55168.011956,7.63101,0.05483
55168.0126504,7.58301,0.06401
55168.0133564,7.59001,0.05762
55168.0140625,7.71721,0.06111
55168.0147453,7.77711,0.05223
55168.0154282,7.57661,0.05174
55168.0161226,7.81581,0.05403
55168.0168171,7.84651,0.05383
55168.0175115,7.86691,0.05453
55168.0189236,7.91071,0.05573
55168.0195949,7.86061,0.05503
55168.0203125,7.90441,0.05513
55168.02103,7.85231,0.05213
55168.0216898,7.89251,0.05154
55168.0223726,7.85961,0.04924
55168.0230902,7.91201,0.05174
55168.0237615,7.80001,0.05074
55168.0244675,7.89441,0.05343
55168.0251504,7.82061,0.05064
55168.0258449,7.90241,0.05213
55168.0265393,7.91601,0.05403
55168.0272337,7.88231,0.05194
55168.0279282,7.83171,0.05184
55168.0286458,7.81011,0.04745
55168.0293402,7.79121,0.04665
55168.0300231,7.90331,0.05293
55168.0307291,7.75841,0.05164
55168.0314236,7.86191,0.04705
55168.032118,7.86011,0.05024
55168.0327893,7.80021,0.04715
55168.0334953,7.82181,0.04785
55168.0341782,7.87971,0.05064
55168.0348958,7.93911,0.04904
55168.0356018,7.82841,0.04815
55168.0362847,7.88771,0.04894
55168.0369675,7.90311,0.04854
55168.0376736,7.88361,0.05213
55168.038368,7.83321,0.04685
55168.0390393,7.86961,0.04934
55168.0397453,7.84811,0.05104
55168.0404513,7.86931,0.04565
55168.0411458,7.86621,0.04496
55168.0418518,7.85891,0.04645
55168.0425115,7.87771,0.04725
55168.0432291,7.78351,0.04735
55168.0439467,7.79441,0.04535
55168.0445949,7.93081,0.04914
55168.0453009,7.84171,0.05164
55168.0460069,7.92801,0.05114
55168.0466782,7.92531,0.04844
55168.0473726,7.95211,0.04775
55168.0480787,7.84911,0.05313
55168.0487847,7.92401,0.04924
55168.049456,7.94571,0.04884
55168.050162,7.82871,0.04695
55168.050868,8.00381,0.05303
55113.2015625,8.14839,0.04433
55113.2022337,8.06359,0.04682
55113.2029282,8.05819,0.03954
55113.2036342,7.97869,0.04782
55113.2043171,8.06719,0.04094
55113.2050347,8.05389,0.04323
55138.1175115,7.73193,0.05353
55138.1182291,7.83713,0.05003
55138.1189236,7.75123,0.04874
55138.1195949,7.82113,0.04924
55138.1202893,7.74143,0.04904
55138.1209837,7.79363,0.04854
55114.175868,7.97043,0.03424
55114.1765393,7.99323,0.03186
55114.1772453,8.04603,0.03503
55114.1779282,8.04523,0.03473
55114.1786342,8.11023,0.03454
55114.1793287,8.04653,0.03454
55139.1147569,8.02295,0.05302
55139.1154282,7.94415,0.05242
55139.1168171,7.87665,0.05033
55230.893206,7.65617,0.01743
55230.8939004,7.63877,0.01812
55230.8946064,7.72307,0.01694
55230.8953125,7.64397,0.01675
55230.8959837,7.69487,0.01704
55230.8966898,7.70067,0.01655
55230.8973726,7.73797,0.01665
55230.8987731,7.68847,0.01675
55230.8994791,7.57457,0.01743
55230.9001736,7.59587,0.01704
55230.9008912,7.62547,0.01655
55230.9022337,7.68187,0.01714
55230.9029282,7.66567,0.01685
55230.9036458,7.69457,0.01783
55230.9043402,7.68067,0.01704
55230.9050115,7.65917,0.01694
55140.1612731,7.77691,0.03351
55140.161956,7.84431,0.03481
55140.1626504,7.79931,0.03252
55140.163368,7.74421,0.03232
55140.1640393,7.78111,0.03262
55142.100868,7.80347,0.03958
55142.1015393,7.90957,0.04087
55142.1022337,7.86647,0.04127
55142.1029282,7.81417,0.03858
55142.1036226,7.90587,0.04147
55116.1695949,7.0536,0.08187
55116.1703009,7.0928,0.04697
55116.1709837,7.1004,0.04786
55116.1716782,7.3052,0.0548
55116.1723842,7.5705,0.06683
55116.1730671,6.7952,0.08416
55231.8904282,7.5322,0.01612
55231.8911458,7.5764,0.01583
55231.8918171,7.5637,0.01622
55231.8925462,7.5725,0.01583
55231.8932291,7.5574,0.01602
55231.8939467,7.5218,0.01534
55231.8952893,7.5086,0.017
55231.8960185,7.5054,0.01563
55231.8966666,7.5125,0.01534
55231.8973842,7.4811,0.01563
55231.8980671,7.5448,0.01563
55231.8987731,7.5211,0.01563
55231.9001736,7.5075,0.01573
55231.9008449,7.5485,0.01622
55231.9015509,7.555,0.01602
55231.9022337,7.6035,0.01593
55231.9029513,7.5753,0.01602
55201.0501504,7.50284,0.02446
55201.0508449,7.51244,0.02456
55201.0515509,7.53344,0.02535
55201.0522337,7.57544,0.02456
55201.0529282,7.58614,0.02476
55143.149456,7.45445,0.02501
55143.1501504,7.48035,0.02461
55143.150868,7.45996,0.02491
55143.1515393,7.51446,0.026
55143.1522453,7.46126,0.02461
55143.1529861,7.53886,0.02719
55204.106412,7.9827,0.02537
55204.1071643,8.0199,0.02547
55204.1077893,8.0719,0.02656
55144.0925115,7.97775,0.0374
55144.093206,7.95775,0.03591
55144.093912,7.87645,0.03541
55144.094618,7.90845,0.03601
55144.0952893,7.94265,0.03412
55204.1237615,7.8476,0.02547
55144.0959953,7.95795,0.03412
55204.1244675,7.8702,0.02408
55204.1251504,7.876,0.02408
55204.1258449,7.8612,0.02418
55204.1265625,7.8762,0.02378
55204.1272337,7.8863,0.02249
55117.1737847,8.02584,0.02527
55117.174456,7.96464,0.02617
55117.1751504,7.95084,0.02527
55117.175868,7.97374,0.02636
55117.1765509,7.94894,0.02597
55117.1772337,8.00334,0.02735
55232.8758449,7.51586,0.01745
55232.8765625,7.57546,0.01755
55232.8772337,7.49656,0.01706
55232.8779282,7.53486,0.01735
55232.8807291,7.49946,0.01646
55232.8834837,7.55216,0.01696
55232.8848842,7.54246,0.01735
55232.8855671,7.55126,0.01706
55232.8862615,7.50716,0.01666
55232.886956,7.53506,0.01715
55232.8876504,7.51726,0.01676
55173.0536226,8.03853,0.02692
55173.0543171,8.04993,0.02771
55173.0550115,8.02143,0.02682
55173.0557291,8.03093,0.0284
55173.0564236,8.04833,0.0284
55173.0571064,8.04563,0.02751
55173.0578125,8.00703,0.02949
55173.0584953,8.05403,0.0283
55173.0591782,8.06483,0.0286
55173.0598726,8.04293,0.02919
55173.0605787,8.08033,0.03137
55173.0612615,8.04933,0.028
55173.0619791,8.08733,0.03008
55173.0626504,8.10023,0.02929
55173.0633449,8.13063,0.03137
55173.0640625,8.11343,0.02969
55173.0647453,8.16593,0.03097
55173.0654513,8.05523,0.02978
55173.0661226,8.13463,0.03078
55173.0668287,8.06803,0.03226
55173.0675347,8.17543,0.03236
55173.0682175,8.09323,0.03683
55173.0689236,8.14993,0.03355
55173.069618,8.11203,0.03663
55145.1418171,7.6313,0.02203
55145.1425347,7.6145,0.02253
55145.143206,7.5956,0.02203
55145.1439236,7.7198,0.02331
55145.1445949,7.6457,0.02262
55118.164074,7.76132,0.02218
55118.1647337,7.77332,0.02168
55118.1654398,7.77072,0.02228
55118.1661574,7.74782,0.02188
55233.8737615,7.53571,0.0189
55233.8744675,7.50771,0.0189
55233.8751736,7.52911,0.0188
55233.8765393,7.57531,0.0189
55118.2112731,8.10372,0.0306
55233.8772337,7.49471,0.01978
55118.2119791,8.11322,0.02901
55118.2126504,8.07382,0.03
55233.8786342,7.53961,0.0185
55233.8793402,7.47961,0.0185
55233.880706,7.49921,0.01899
55233.8828125,7.52371,0.01831
55233.8834837,7.47081,0.01752
55233.8841782,7.52051,0.01919
55233.8848726,7.49351,0.01821
55233.8855902,7.46421,0.0184
55258.9703125,7.88571,0.02559
55259.0570949,7.57171,0.02193
55259.143206,7.85181,0.03474
55146.1120023,7.73092,0.02049
55146.1126504,7.73522,0.02119
55146.1133564,7.72812,0.02119
55120.1994791,8.17824,0.02929
55120.2001504,8.15664,0.02859
55120.2015393,8.12824,0.0283
55120.2022569,8.12914,0.02939
55208.0980671,7.75114,0.02507
55208.0987615,7.75464,0.02408
55234.8918402,7.61917,0.02207
55208.0994791,7.71394,0.02457
55234.8925347,7.57137,0.02109
55208.1001736,7.74184,0.02457
55234.8932175,7.50157,0.02128
55208.100868,7.80934,0.02595
55234.8939004,7.56818,0.02089
55208.1015393,7.76184,0.02546
55234.8945949,7.58417,0.02118
55208.1022453,7.77444,0.02615
55234.8952893,7.78157,0.02473
55208.1029282,7.79954,0.02477
55234.8960185,7.66437,0.02355
55208.1043171,7.76594,0.02615
55234.8966782,7.77197,0.02433
55234.8973726,7.74967,0.02749
55208.1050115,7.84904,0.02655
55234.8980787,7.68287,0.02266
55208.105706,7.80784,0.02605
55234.8987847,7.81867,0.04269
55208.1064004,7.85494,0.02842
55234.8994675,7.75778,0.02463
55208.1071064,7.83414,0.02635
55234.9001504,7.68277,0.02286
55208.1078125,7.79374,0.02704
55234.9015509,7.95277,0.03941
55208.1098842,7.84594,0.02763
55234.9022337,7.94397,0.03791
55234.9029513,7.95097,0.03126
55208.1105902,7.83584,0.02734
